,Mo Sold,Overall Qual,Kitchen Qual,Fireplaces,TotRms AbvGrd,2nd Flr SF,newer_build,Total Bsmt SF,Garage Cond,BsmtFin SF 2,Enclosed Porch,Garage Qual,off_site,Exter Qual,street,Gr Liv Area,Kitchen AbvGr,Low Qual Fin SF,Open Porch SF,Wood Deck SF,normal,Garage Cars,Lot Area,Misc Val,MS SubClass,1st Flr SF,Bedroom AbvGr,close_to_rail,Bsmt Cond,Id,Garage Yr Blt,Year Built,Year Remod/Add,3Ssn Porch,Bsmt Unf SF,Bsmt Qual,Garage Area,BsmtFin SF 1,Bsmt Exposure,Fireplace Qu,Lot Frontage,Overall Cond,Pool QC,Exter Cond,Heating QC,Mas Vnr Area,Screen Porch,total_bath,Pool Area,Yr Sold
0,3,6,2,0,6,754,0,725.0,2.0,0.0,0,2.0,0,1,0,1479,1,0,44,0,1,2.0,13517,0,60,725,3,1,1.0,109,1976.0,1976,2005,0,192.0,1.0,475.0,533.0,-1.0,1.4709800190294957,69.05520046484602,8,0,0,3,289.0,0,2.5,0,2010
1,4,7,2,1,8,1209,1,913.0,2.0,0.0,0,2.0,0,1,0,2122,1,0,74,0,2,2.0,11492,0,60,913,4,0,1.0,544,1997.0,1996,1997,0,276.0,2.0,559.0,637.0,-1.0,1.0,43.0,5,0,0,3,132.0,0,3.5,0,2009
2,1,5,2,0,5,0,0,1057.0,2.0,0.0,0,2.0,0,0,0,1057,1,0,52,0,2,1.0,7922,0,20,1057,3,0,1.0,153,1953.0,1953,2007,0,326.0,1.0,246.0,731.0,-1.0,1.4709800190294957,68.0,7,0,1,1,0.0,0,2.0,0,2010
3,4,5,2,0,7,700,1,384.0,2.0,0.0,0,2.0,0,0,0,1444,1,0,0,100,2,2.0,9802,0,60,744,3,0,1.0,318,2007.0,2006,2007,0,384.0,2.0,400.0,0.0,-1.0,1.4709800190294957,73.0,5,0,0,2,0.0,0,2.5,0,2010
4,3,6,2,0,6,614,0,676.0,2.0,0.0,0,2.0,0,0,0,1445,1,0,59,0,2,2.0,14235,0,50,831,3,0,2.0,255,1957.0,1900,1993,0,676.0,0.0,484.0,0.0,-1.0,1.4709800190294957,82.0,8,0,0,1,0.0,0,2.0,0,2010
5,6,6,2,1,6,0,0,1517.0,2.0,713.0,0,2.0,1,1,0,1888,1,0,0,0,1,2.0,16492,0,20,1888,2,0,1.0,138,1966.0,1966,2002,0,557.0,1.0,578.0,247.0,-1.0,2.0,137.0,6,0,0,3,0.0,0,2.5,0,2010
6,6,6,2,0,5,0,1,547.0,2.0,0.0,0,2.0,0,0,0,1072,1,0,44,0,2,2.0,3675,0,180,1072,2,0,1.0,2827,2005.0,2005,2006,0,0.0,2.0,525.0,547.0,2.0,1.4709800190294957,35.0,5,0,0,2,82.0,0,3.0,0,2006
7,5,5,2,0,6,0,0,1188.0,2.0,0.0,0,2.0,0,0,0,1188,1,0,0,0,2,2.0,12160,0,20,1188,3,0,1.0,145,1959.0,1959,1959,0,188.0,1.0,531.0,1000.0,-1.0,1.4709800190294957,69.05520046484602,5,0,0,0,180.0,0,2.0,0,2010
8,6,5,2,0,6,0,0,924.0,2.0,0.0,0,2.0,0,0,1,924,1,0,324,0,1,1.0,15783,400,20,924,2,0,1.0,1942,1952.0,1952,1952,0,632.0,1.0,420.0,292.0,-1.0,1.4709800190294957,69.05520046484602,5,0,0,1,0.0,0,1.0,0,2007
9,9,5,0,2,9,1040,0,1040.0,2.0,0.0,0,2.0,0,0,0,2080,1,0,0,335,2,2.0,11606,0,60,1040,5,0,1.0,1956,1969.0,1969,1969,0,390.0,2.0,504.0,650.0,1.0,1.0,70.0,5,0,0,1,192.0,0,2.5,0,2007
10,7,6,2,0,4,504,0,483.0,2.0,0.0,0,2.0,0,0,0,987,1,0,0,0,2,1.0,1680,0,160,483,2,0,1.0,1044,1971.0,1971,1971,0,96.0,1.0,264.0,387.0,-1.0,1.4709800190294957,21.0,5,0,0,1,232.0,0,1.5,0,2008
11,2,7,2,0,6,0,1,1208.0,2.0,0.0,0,2.0,0,1,0,1208,1,0,58,105,2,2.0,7488,0,20,1208,2,0,1.0,2752,2005.0,2005,2005,0,815.0,2.0,632.0,393.0,1.0,1.4709800190294957,64.0,5,0,0,3,0.0,0,2.0,0,2006
12,6,5,2,1,7,728,0,0.0,2.0,0.0,0,2.0,0,1,1,2016,1,0,0,0,1,2.0,26400,0,70,1288,4,0,1.0100200400801602,807,1900.0,1880,2007,0,0.0,1.5861723446893787,576.0,0.0,-0.32363271450075265,1.0,120.0,7,0,0,3,0.0,0,1.0,0,2009
13,12,8,2,0,7,645,1,960.0,2.0,0.0,0,2.0,0,1,0,1607,1,0,0,169,2,2.0,2645,0,160,962,3,0,1.0,1177,2000.0,1999,2000,0,147.0,2.0,480.0,813.0,-1.0,1.4709800190294957,24.0,5,0,0,3,456.0,0,3.5,0,2008
14,6,7,2,0,6,0,1,1351.0,2.0,0.0,0,2.0,0,1,0,1361,1,0,50,0,2,2.0,9627,0,20,1361,3,0,1.0,1480,2007.0,2007,2007,0,1327.0,2.0,610.0,24.0,1.0,1.4709800190294957,74.0,5,0,0,3,0.0,0,2.0,0,2008
15,3,5,2,0,7,0,1,1430.0,2.0,0.0,0,2.0,0,0,0,1430,1,0,0,0,2,2.0,10114,0,20,1430,3,0,1.0,324,2004.0,2004,2005,0,1430.0,3.0,624.0,0.0,1.0,1.4709800190294957,93.0,5,0,0,3,0.0,0,2.0,0,2010
16,5,5,2,0,7,720,0,624.0,0.0,0.0,96,0.0,0,0,0,1344,1,0,0,0,2,3.0,4571,0,70,624,4,0,1.0,1311,1916.0,1916,1950,0,624.0,1.0,513.0,0.0,-1.0,1.4709800190294957,34.0,5,0,0,0,0.0,0,1.0,0,2008
17,6,5,2,0,5,0,0,1121.0,2.0,0.0,0,2.0,0,0,1,1121,1,0,80,0,1,2.0,8816,0,20,1121,3,0,1.0,770,1963.0,1963,1963,0,470.0,1.0,480.0,651.0,-1.0,1.4709800190294957,80.0,6,0,0,1,0.0,0,2.0,0,2009
18,4,6,2,1,7,0,0,660.0,2.0,0.0,0,2.0,0,0,0,1285,1,0,0,138,2,2.0,8197,0,20,1285,3,0,1.0,2063,1977.0,1977,1977,0,660.0,1.0,528.0,0.0,-1.0,1.0,71.0,5,0,0,3,148.0,0,1.5,0,2007
19,6,7,2,0,7,783,1,756.0,2.0,0.0,0,2.0,0,0,0,1547,1,0,45,169,2,2.0,8640,0,60,764,3,0,1.0,69,2009.0,2009,2009,0,732.0,2.0,614.0,24.0,0.0,1.4709800190294957,72.0,5,0,0,3,0.0,0,2.5,0,2010
20,5,5,2,1,5,0,0,894.0,2.0,0.0,0,2.0,0,0,0,894,1,0,0,0,2,2.0,8724,0,20,894,3,0,1.0,2062,1968.0,1968,1968,0,402.0,2.0,450.0,492.0,-1.0,-1.0,109.0,5,0,0,2,0.0,0,1.0,0,2007
21,10,8,3,1,5,0,1,1501.0,2.0,0.0,0,2.0,0,1,0,1659,1,0,59,212,2,2.0,5664,0,120,1659,2,0,1.0,351,2000.0,2000,2000,0,343.0,2.0,499.0,1158.0,-1.0,4.0,40.0,5,0,0,3,0.0,0,3.0,0,2009
22,7,8,3,1,8,1044,1,1209.0,2.0,0.0,0,2.0,0,1,0,2253,1,0,142,243,2,2.0,12867,0,60,1209,3,0,1.0,2393,2005.0,2005,2006,0,1209.0,3.0,575.0,0.0,1.0,2.0,103.0,5,0,0,3,99.69590931493346,0,2.5,0,2006
23,3,6,2,0,6,0,1,1168.0,2.0,0.0,0,2.0,0,0,0,1187,1,0,21,483,2,2.0,7980,500,20,1187,3,0,1.0,12,1992.0,1992,2007,0,233.0,2.0,420.0,935.0,-1.0,1.4709800190294957,69.05520046484602,7,0,1,3,0.0,0,3.0,0,2010
24,1,5,2,0,5,0,0,1056.0,2.0,0.0,0,2.0,0,0,0,1056,1,0,0,264,2,2.0,34650,0,190,1056,3,0,1.0,2339,1955.0,1955,1955,0,0.0,1.0,572.0,1056.0,0.0,1.4709800190294957,100.0,5,0,0,1,0.0,0,2.0,0,2006
25,4,6,2,1,6,0,0,1453.0,2.0,0.0,0,2.0,0,0,0,1453,1,0,49,0,2,2.0,10573,0,20,1453,3,0,1.0,624,1961.0,1961,1961,0,141.0,1.0,530.0,1312.0,-1.0,1.0,92.0,6,0,0,3,3.0,288,3.0,0,2009
26,4,5,2,1,5,0,0,894.0,2.0,117.0,0,2.0,0,0,0,894,1,0,144,416,1,1.0,8450,0,20,894,3,1,1.0,86,1973.0,1965,2009,0,224.0,1.0,336.0,553.0,-1.0,2.0,65.0,8,0,1,3,0.0,0,2.0,0,2010
27,7,5,2,1,7,673,0,942.0,2.0,0.0,0,2.0,0,0,0,1938,1,0,40,0,2,1.0,11700,0,50,1265,4,0,1.0,1534,1937.0,1937,1995,0,336.0,1.0,240.0,606.0,-1.0,2.0,69.05520046484602,6,0,0,3,0.0,0,2.0,0,2008
28,6,5,2,0,9,957,0,957.0,1.9566339700567887,0.0,133,1.9385647909137842,0,0,1,1991,2,0,0,0,1,0.0,8250,0,190,1034,4,0,1.0,2243,1978.7077955601446,1895,2006,0,957.0,1.0,0.0,0.0,-1.0,1.4709800190294957,75.0,6,0,1,0,0.0,0,2.0,0,2007
29,7,5,2,1,6,252,0,672.0,2.0,0.0,0,2.0,0,0,1,924,1,0,0,0,1,2.0,8064,2000,50,672,3,0,1.0,1957,2003.0,1949,2006,0,672.0,1.0,576.0,0.0,0.0,-1.0,60.0,7,0,1,3,0.0,0,1.0,0,2007
30,7,8,2,1,9,0,1,2524.0,2.0,0.0,0,2.0,1,1,0,2524,1,0,120,474,1,2.0,9600,0,20,2524,4,0,1.0,380,1981.0,1981,1981,0,1420.0,2.0,542.0,1104.0,-1.0,2.0,80.0,5,0,0,1,0.0,0,3.5,0,2009
31,6,8,2,2,7,725,0,792.0,2.0,0.0,0,2.0,0,0,0,1517,1,0,0,0,2,2.0,11435,0,70,792,3,0,1.0,2860,1931.0,1929,1950,0,792.0,2.0,400.0,0.0,-1.0,2.0,69.05520046484602,7,0,0,0,0.0,0,1.0,0,2006
32,4,8,3,1,6,0,1,1494.0,2.0,1057.0,0,2.0,0,1,0,1494,1,0,30,0,2,2.0,9549,0,120,1494,2,0,2.0,2517,1995.0,1995,1996,0,0.0,2.0,481.0,437.0,1.0,2.0,30.0,5,0,1,3,0.0,216,2.5,0,2006
33,4,6,2,0,5,0,0,948.0,2.0,0.0,0,2.0,0,0,0,948,1,0,48,0,2,2.0,10950,0,20,948,2,0,1.0,1933,1952.0,1952,1952,0,507.0,1.0,410.0,441.0,-1.0,1.4709800190294957,60.0,6,0,0,1,0.0,0,1.0,0,2007
34,9,8,2,1,7,0,1,1705.0,2.0,0.0,0,2.0,0,1,0,1718,1,0,44,208,2,3.0,10637,0,20,1718,3,0,1.0,820,2007.0,2007,2008,0,417.0,3.0,826.0,1288.0,2.0,2.0,79.0,5,0,0,3,336.0,0,3.0,0,2009
35,4,6,2,1,5,0,0,160.0,2.0,0.0,64,2.0,0,0,0,1142,1,0,28,0,2,1.0,9000,0,20,1142,2,0,1.0,675,1958.0,1958,1958,0,160.0,2.0,384.0,0.0,2.0,2.0,80.0,6,0,0,0,82.0,0,1.0,0,2009
36,7,5,2,1,6,550,0,757.0,2.0,173.0,0,2.0,0,0,0,1475,1,0,26,104,2,1.0,2665,0,160,925,4,0,1.0,2910,1977.0,1977,1977,0,36.0,1.0,336.0,548.0,-1.0,1.0,41.0,6,0,0,3,0.0,0,2.0,0,2006
